"","species","n","commonName"
"258","Puffinus assimilis",29,"Puffinus assimilis"
"259","Stomias affinis",29,"honeycomb scaly dragonfish"
"260","Taaningichthys bathyphilus",29,"Taaningichthys bathyphilus"
"261","Vinciguerria attenuata",29,"slender lightfish"
"262","Vinciguerria poweriae",29,"Power's deep-water bristle-mouth fish"
"263","Barbourisia rufa",28,"Barbourisia rufa"
"264","Thalassarche bulleri",28,"Buller's albatross"
"265","Benthosema suborbitale",27,"smallfin lanternfish"
"266","Diplophos taenia",27,"Pacific portholefish"
"267","Gollum attenuatus",27,"slender smooth-hound"
"268","Oikopleura (Vexillaria) parva",27,"Oikopleura (Vexillaria) parva"
"269","Paraulopus nigripinnis",27,"Paraulopus nigripinnis"
"270","Ruvettus pretiosus",27,"oilfish"
"271","Synaphobranchus affinis",27,"grey cutthroat"
"272","Thunnus albacares",27,"yellowfin tuna"
"273","Tubbia tasmanica",27,"Tasmanian ruffe"
"274","Ariomma luridum",26,"ariommid"
"275","Bythaelurus dawsoni",26,"New Zealand catshark"
"276","Chlorophthalmus albatrossis",26,"Chlorophthalmus albatrossis"
"277","Chlorurus sordidus",26,"daisy parrotfish"
"278","Coelorinchus mirus",26,"Coelorinchus mirus"
"279","Dipturus innominatus",26,"Dipturus innominatus"
"280","Gomphosus varius",26,"Gomphosus varius"
"281","Isurus oxyrinchus",26,"shortfin mako shark"
"282","Leuroglossus schmidti",26,"northern smooth-tongue"
"283","Pentaceros japonicus",26,"Japanese armorhead"
"284","Tetragonurus cuvieri",26,"Tetragonurus cuvieri"
"285","Argyropelecus aculeatus",25,"lovely hatchetfish"
"286","Caprodon longimanus",25,"Caprodon longimanus"
"287","Cyttus australis",25,"Cyttus australis"
"288","Electrona risso",25,"chubby flashlightfish"
"289","Katsuwonus pelamis",25,"skipjack tuna"
"290","Lucigadus nigromaculatus",25,"blackspotted grenadier"
"291","Microstomus pacificus",25,"Dover sole"
"292","Nannobrachium hawaiiensis",25,"Nannobrachium hawaiiensis"
"293","Naucrates ductor",25,"Naucrates ductor"
"294","Plectroglyphidodon dickii",25,"blackbar devil"
"295","Balaena mysticetus",24,"bowhead whale"
"296","Bathophilus flemingi",24,"highfin dragonfish"
"297","Bregmaceros bathymaster",24,"Bregmaceros bathymaster"
"298","Catharacta lonnbergi",24,"brown skua"
"299","Chascanopsetta prorigera",24,"Chascanopsetta prorigera"
"300","Helicolenus lengerichi",24,"Helicolenus lengerichi"
"301","Hydrolagus novaezealandiae",24,"dark ghost shark"
"302","Lestidiops ringens",24,"slender barracudina"
"303","Nezumia namatahi",24,"Nezumia namatahi"
"304","Scopelogadus mizolepis",24,"Scopelogadus mizolepis"
"305","Trachinocephalus myops",24,"snakefish"
"306","Valenciennellus tripunctulatus",24,"constellationfish"
"307","Zalanthias kelloggi",24,"eastern flower porgy"
"308","Bathyraja shuntovi",23,"narrownose skate"
"309","Brama dussumieri",23,"lesser bream"
"310","Capromimus abbreviatus",23,"Capro dory"
"311","Chaunax fimbriatus",23,"tassled coffinfish"
"312","Dasyatis brevicaudata",23,"smooth stingray"
"313","Diomedea sanfordi",23,"Diomedea sanfordi"
"314","Physiculus hexacytus",23,"Physiculus hexacytus"
"315","Puffinus bulleri",23,"Buller's shearwater"
"316","Ceratoscopelus townsendi",22,"Ceratoscopelus townsendi"
"317","Epigonus telescopus",22,"black cardinal fish"
"318","Eretmochelys imbricata",22,"hawksbill sea turtle"
"319","Hoplostethus gigas",22,"giant sawbelly"
"320","Hydrolagus homonycteris",22,"Hydrolagus homonycteris"
"321","Melanolagus bericoides",22,"bigscale deepsea smelt"
"322","Oikopleura (Vexillaria) dioica",22,"Oikopleura (Vexillaria) dioica"
"323","Phaethon rubricauda",22,"red-tailed tropicbird"
"324","Seriola lalandi",22,"yellowtail amberjack"
"325","Seriolella punctata",22,"silver warehou"
"326","Thunnus alalunga",22,"albacore"
"327","Aphrodroma brevirostris",21,"Kerguelen petrel"
"328","Carcharhinus falciformis",21,"silky shark"
"329","Centroscymnus plunketi",21,"Plunket shark"
"330","Coelorinchus australis",21,"Coelorinchus australis"
"331","Euprotomicrus bispinatus",21,"Euprotomicrus bispinatus"
"332","Lampadena luminosa",21,"Lampadena luminosa"
"333","Priacanthus hamrur",21,"moontail bullseye"
"334","Psenes sio",21,"twospine driftfish"
"335","Remora remora",21,"common remora"
"336","Trachurus declivis",21,"greenback horse mackerel"
"337","Tripterophycis gilchristi",21,"grenadier cod"
"338","Carcharhinus longimanus",20,"oceanic whitetip shark"
"339","Dascyllus aruanus",20,"white-tailed damselfish"
"340","Electrona carlsbergi",20,"Electrona carlsbergi"
"341","Eustomias macrurus",20,"Eustomias macrurus"
"342","Gonichthys tenuiculus",20,"slendertail lanternfish"
"343","Lophiodes miacanthus",20,"Lophiodes miacanthus"
"344","Melamphaes parvus",20,"little bigscale"
"345","Nansenia candida",20,"bluethroat argentine"
"346","Oxyporhamphus micropterus",20,"bigwing halfbeak"
